id;title;description;type;options;points;bonus_matchday;deadline_at;visible;scoring
;Wer gewinnt den Super Bowl?;Ein Team auswählen;team_pick;@teams:all;10;1;2026-09-10T02:00;true;
;Wer gewinnt die AFC Championship?;Ein AFC-Team auswählen;team_pick;@teams:conf=AFC;8;1;2026-09-10T02:00;true;
;Wer gewinnt die NFC Championship?;Ein NFC-Team auswählen;team_pick;@teams:conf=NFC;8;1;2026-09-10T02:00;true;
;Welche vier Teams erreichen die Conference Championships?;Genau vier Teams auswählen;multi_select;@teams:all;12;1;2026-09-10T02:00;true;per_correct_points=3,wrong_penalty=0,min_select=4,max_select=4
;Welche Teams erreichen die Playoffs?;Genau vierzehn Teams auswählen;multi_select;@teams:all;14;1;2026-09-10T02:00;true;per_correct_points=1,wrong_penalty=0,min_select=14,max_select=14
;Welches Team holt die meisten Siege in der Regular Season?;Ein Team auswählen;team_pick;@teams:all;6;1;2026-09-10T02:00;true;
;Erreicht der amtierende Super-Bowl-Sieger erneut die Playoffs?;Titelverteidiger sind die Seattle Seahawks (Super Bowl LX). Ja oder Nein;single_choice;Ja|Nein;3;1;2026-09-10T02:00;true;
;Gibt es in der Regular Season mindestens ein Unentschieden?;Ja oder Nein;single_choice;Ja|Nein;3;1;2026-09-10T02:00;true;
;Endstand AFC East (Platz 1 bis 4);Teams in die richtige Reihenfolge bringen;ranking;@teams:div=AFC East;12;1;2026-09-10T02:00;true;per_position_points=2,all_correct_bonus=4
;Endstand AFC North (Platz 1 bis 4);Teams in die richtige Reihenfolge bringen;ranking;@teams:div=AFC North;12;1;2026-09-10T02:00;true;per_position_points=2,all_correct_bonus=4
;Endstand AFC South (Platz 1 bis 4);Teams in die richtige Reihenfolge bringen;ranking;@teams:div=AFC South;12;1;2026-09-10T02:00;true;per_position_points=2,all_correct_bonus=4
;Endstand AFC West (Platz 1 bis 4);Teams in die richtige Reihenfolge bringen;ranking;@teams:div=AFC West;12;1;2026-09-10T02:00;true;per_position_points=2,all_correct_bonus=4
